rhocov,rhomev,Env,Pv,Ncov,Nmev
0.00015610425240054868,0.0001721536351165981,-18.385097917521716,1.3944298806280773,113.8,125.5
0.00016418381344307265,0.00018271604938271596,-18.85281689500511,1.4928666899864032,119.69,133.2
0.0001720301783264746,0.00018611796982167348,-17.617882247551595,1.5733963086058038,125.41,135.68
0.00018079561042524004,0.00019278463648834016,-17.40053728372909,1.669716557194067,131.8,140.54
0.0001914540466392318,0.00020633744855967084,-21.37702448186313,1.7833025750463352,139.57,150.42
0.00019700960219478733,0.00021684499314128934,-24.186524115271446,1.7901281786630394,143.62,158.08
0.0002117009602194787,0.00023172839506172837,-27.938047406240067,1.895988125030649,154.33,168.93
0.00022474622770919076,0.0002480384087791495,-30.40140617453007,1.9619998967044916,163.84,180.82
0.00023102880658436214,0.00025602194787379973,-31.354487672830206,2.0009171014222678,168.42,186.64
0.0002312208504801097,0.0002701783264746227,-30.772220266521323,2.0723950690344277,168.56,196.96
0.0002475582990397805,0.00028700960219478743,-32.181413320466945,2.2218955802944147,180.47,209.23
0.00025543209876543213,0.00030148148148148146,-33.900184634243494,2.380610492539926,186.21,219.78
0.0002604115226337449,0.0003039506172839506,-33.51901394514284,2.463895844263249,189.84,221.58
0.00027013717421124823,0.0003092455418381345,-34.46397825073038,2.564128774990511,196.93,225.44
0.0002721810699588476,0.00032161865569272974,-35.79463418119365,2.5577541913181268,198.42,234.46
0.00028621399176954735,0.00033632373113854595,-38.08345857135033,2.6097383593200876,208.65,245.18
0.0002959670781893004,0.00034855967078189294,-40.92136272111983,2.7144211306785038,215.76,254.1
0.00030381344307270233,0.00036020576131687244,-42.6944845237194,2.648642534082955,221.48,262.59
0.00031330589849108367,0.0003604526748971193,-43.92281519277129,2.6394400980457653,228.4,262.77
0.0003208230452674897,0.0003705075445816185,-44.170913333670605,2.6828350922137094,233.88,270.1
0.00033400548696845,0.0003781893004115227,-44.0428409401712,2.73321676413017,243.49,275.7
0.00034418381344307274,0.0003878189300411522,-44.36844091154246,2.874942701181583,250.91,282.72
0.00035626886145404663,0.0003985871056241426,-46.115147986333156,3.020010409217378,259.72,290.57
0.00036728395061728377,0.0004140329218106997,-46.57278006038947,3.157207302160042,267.75,301.83
0.00038115226337448563,0.0004195884773662552,-46.53406269153506,3.176898149200272,277.86,305.88
0.0003927023319615911,0.0004294787379972565,-49.52440241131614,3.229701027024522,286.28,313.09
0.0003999314128943758,0.0004379972565157749,-50.287238625529156,3.289742936231039,291.55,319.3
0.00041160493827160504,0.00044282578875171454,-50.14364941419619,3.497597758626423,300.06,322.82
0.00041661179698216744,0.00044938271604938283,-51.761565637301466,3.4839916009822507,303.71,327.6
0.0004167901234567903,0.0004631001371742112,-53.143424798696515,3.656862314997605,303.84,337.6
0.0004237997256515775,0.0004746502057613168,-54.863252389055084,3.6729227551362085,308.95,346.02
0.0004362551440329217,0.0004807818930041151,-56.452837307218914,3.785988588730079,318.03,350.49
0.00044739368998628266,0.0004903429355281207,-57.043471918578454,4.014384176086722,326.15,357.46
0.0004579698216735254,0.0005003566529492455,-58.60823974295181,4.179838779858432,333.86,364.76
0.0004663511659807956,0.00050639231824417,-59.488262121098195,4.166318015428289,339.97,369.16
0.0004650891632373114,0.0005112071330589849,-59.45342490035139,3.972081834766575,339.05,372.67
0.0004717146776406035,0.0005248971193415638,-58.18723617846671,4.073930671047594,343.88,382.65
0.00047705075445816166,0.0005260493827160495,-59.26542380799145,4.210726067932074,347.77,383.49
0.0004798628257887516,0.0005288340192043898,-58.41690063838406,4.395118486426273,349.82,385.52
0.0004844718792866942,0.0005348971193415638,-59.61667481403941,4.396570697903888,353.18,389.94
0.000497037037037037,0.0005384224965706446,-60.56253913110291,4.479888697100979,362.34,392.51
0.0005014128943758574,0.0005435802469135802,-61.444193783965126,4.564127082026911,365.53,396.27
0.0005104252400548695,0.0005468587105624141,-63.42339415572038,4.588213898501409,372.1,398.66
0.0005204526748971193,0.0005583401920438957,-66.4797272663328,4.476106680861966,379.41,407.03
0.0005318244170096022,0.0005680521262002743,-66.6603092961279,4.5619468137244334,387.7,414.11
0.0005409327846364882,0.0005749794238683127,-68.27103378777836,4.667360148753151,394.34,419.16
0.0005508916323731139,0.0005789437585733881,-70.3359006549302,4.656641721763463,401.6,422.05
0.0005577229080932785,0.0005828395061728394,-72.78189466357013,4.652745945273235,406.58,424.89
0.0005688477366255144,0.0005912620027434843,-75.27819500634823,4.687489250465338,414.69,431.03
0.0005749519890260632,0.000598724279835391,-77.39834473205227,4.721174330317251,419.14,436.47
0.0005863648834019204,0.0005991083676268862,-79.4378741837363,4.777139153721776,427.46,436.75
0.0005929629629629631,0.0006055829903978052,-79.55310815281474,4.939379726459217,432.27,441.47
0.0005968449931412895,0.0006110013717421126,-80.02974814066377,5.057770512161398,435.1,445.42
0.0005979698216735255,0.0006216186556927298,-79.94375261169124,5.209852991556857,435.92,453.16
0.0006007407407407407,0.0006304252400548697,-80.39002405623006,5.337504578893404,437.94,459.58
0.0006108367626886144,0.0006407544581618655,-82.88162533012728,5.4581360708607205,445.3,467.11
0.0006161179698216734,0.0006543209876543208,-83.16281454295769,5.482367520722326,449.15,477.0
0.0006175308641975307,0.0006637585733882029,-83.2393483099184,5.613603517714818,450.18,483.88
0.000623703703703704,0.0006682578875171466,-82.62772213293405,5.909925994359202,454.68,487.16
0.0006312345679012347,0.0006803155006858714,-83.05473727891092,6.019796875584999,460.17,495.95
0.0006336488340192044,0.0006873251028806588,-83.63738917772534,6.006320572412578,461.93,501.06
0.0006431001371742114,0.0006888340192043899,-84.62176994997317,5.907534170415135,468.82,502.16
0.0006471879286694102,0.0006996296296296298,-84.44506945167146,5.96344944165425,471.8,510.03
0.0006470644718792868,0.0007086282578875172,-85.5194996851662,5.969437859860775,471.71,516.59
0.0006455006858710565,0.0007133470507544582,-86.12334155362343,5.853318164471522,470.57,520.03
0.0006472427983539095,0.0007194375857338819,-87.44591771895637,5.826185642849303,471.84,524.47
0.0006574074074074073,0.0007211934156378599,-88.68612977554143,5.7457932433153145,479.25,525.75
0.0006629629629629627,0.0007310562414266117,-88.6640510559792,5.9029304628736385,483.3,532.94
0.0006712071330589847,0.0007389711934156378,-89.0618025473708,5.782062703078934,489.31,538.71
0.0006707818930041152,0.000741028806584362,-89.18874949189822,5.729711016558608,489.0,540.21
0.0006745404663923179,0.0007447325102880656,-91.11661653050395,5.602125863580351,491.74,542.91
0.0006785048010973935,0.0007529766803840882,-90.98364610890181,5.7144682943223195,494.63,548.92
0.0006803429355281204,0.0007559122085048012,-89.84010279111837,5.742887303270136,495.97,551.06
0.000679807956104252,0.0007642798353909466,-90.61109565312465,5.7456017943928055,495.58,557.16
0.0006855418381344311,0.0007661454046639232,-92.19450561344138,5.783397236318166,499.76,558.52
0.0006849657064471881,0.0007690672153635117,-92.30320822818948,5.813503966360392,499.34,560.65
0.0007008093278463649,0.000779931412894376,-93.26553906068763,5.988427452250838,510.89,568.57
0.0007179012345679012,0.0007914266117969821,-94.19623243216851,6.192263815144645,523.35,576.95
0.0007209602194787382,0.0007967215363511658,-94.23634217945173,6.275992573076531,525.58,580.81
0.0007262277091906719,0.0007939780521262003,-94.3133260278984,6.209946920211249,529.42,578.81
0.000736639231824417,0.0008012482853223593,-95.09281845092198,6.279003788662063,537.01,584.11
0.0007412620027434841,0.000808710562414266,-96.05901781587472,6.194325305776356,540.38,589.55
0.0007447325102880656,0.0008097668038408778,-96.85361085001593,6.094660401010112,542.91,590.32
0.0007531824417009604,0.0008185322359396434,-98.459805149923,6.04286463497306,549.07,596.71
0.0007608230452674899,0.000826982167352538,-99.08571673374168,6.196451634102245,554.64,602.87
0.0007590809327846368,0.0008260219478737995,-98.48563838526783,6.246951721263462,553.37,602.17
0.0007521810699588474,0.0008260631001371743,-98.89129467600223,6.180599956660103,548.34,602.2
0.0007550068587105626,0.0008330864197530867,-99.57332151025206,6.212910631720408,550.4,607.32
0.0007601508916323735,0.00084161865569273,-99.54952786182555,6.231999949610187,554.15,613.54
0.0007642798353909466,0.0008482716049382718,-100.62455890751626,6.358692003894415,557.16,618.39
0.00077079561042524,0.0008554869684499314,-102.56373020267176,6.355879639752602,561.91,623.65
0.0007740466392318246,0.0008625788751714678,-103.15333978910145,6.36560239190322,564.28,628.82
0.0007725102880658439,0.0008671330589849108,-102.92697546671594,6.406711379954073,563.16,632.14
0.0007768175582990397,0.0008738408779149519,-103.43596754719009,6.359080130570922,566.3,637.03
0.0007819341563786009,0.0008751714677640605,-102.6395099984552,6.357800701993326,570.03,638.0
0.0007848422496570646,0.0008847736625514402,-101.85952253093512,6.445753730322349,572.15,645.0
0.0007922770919067215,0.0008927434842249655,-101.78560743739787,6.614122579162048,577.57,650.81
0.0007915363511659808,0.0008917283950617281,-101.68901809421175,6.603479808536154,577.03,650.07
0.0007994238683127569,0.0008856927297668036,-102.12203445660847,6.556944720624861,582.78,645.67
0.000808477366255144,0.0008814540466392315,-101.81206063603884,6.582317758845947,589.38,642.58
0.0008165843621399174,0.0008810699588477364,-101.3459557662566,6.737900064392102,595.29,642.3
0.0008197256515775034,0.0008834019204389573,-102.4914189762926,6.780637398886984,597.58,644.0
0.0008178875171467761,0.0008920027434842248,-103.54205076566575,6.825789606503874,596.24,650.27
0.0008231412894375856,0.0008988340192043898,-104.15179947307074,7.088042936089335,600.07,655.25
0.0008230864197530862,0.0009040466392318247,-104.62352116776715,7.121139383081594,600.03,659.05
0.0008244993141289439,0.0009019753086419758,-104.92564154995621,6.944256827209402,601.06,657.54
0.0008311248285322362,0.0009093552812071331,-105.17867903815939,7.00580332718949,605.89,662.92
0.0008310288065843624,0.0009105075445816188,-106.05525814253589,7.053030646120942,605.82,663.76
0.0008290672153635117,0.0009198491083676269,-106.66098882768073,7.1283864091559845,604.39,670.57
0.0008271056241426613,0.0009235253772290808,-108.89399626242742,6.777641150969987,602.96,673.25
0.0008345541838134432,0.0009284087791495199,-110.65623077551143,6.781994269741153,608.39,676.81
0.000843525377229081,0.0009307133058984909,-111.49732927925034,6.713299013595657,614.93,678.49
0.0008467352537722908,0.0009416460905349791,-111.8740773522368,6.663833261603848,617.27,686.46
0.0008543347050754457,0.0009444581618655692,-110.4370030812218,6.781895932022996,622.81,688.51
0.0008605075445816187,0.0009509053497942385,-110.98685459328495,6.742390114118656,627.31,693.21
0.0008626474622770918,0.0009482990397805212,-113.0034569942224,6.36276310774642,628.87,691.31
0.0008672153635116597,0.0009506172839506173,-113.75038314211673,6.260028552218725,632.2,693.0
0.000866145404663923,0.0009440466392318242,-113.85258277812318,6.3023085254073985,631.42,688.21
0.0008664060356652947,0.0009499588477366254,-114.82420728622108,6.362274558040674,631.61,692.52
0.0008625377229080932,0.000949122085048011,-116.61512389277341,6.280999103462843,628.79,691.91
0.0008599039780521262,0.0009483950617283951,-117.39765435245441,6.269045411381786,626.87,691.38
0.000863031550068587,0.0009532373113854593,-119.01821930825201,6.230357216536621,629.15,694.91
0.0008629492455418382,0.000956076817558299,-119.50922752853435,6.163689943353453,629.09,696.98
0.0008561454046639231,0.0009598902606310012,-119.94865799515763,6.224122482088332,624.13,699.76
0.0008567352537722908,0.0009607818930041151,-119.65317955926095,6.256714551523979,624.56,700.41
0.0008565980795610425,0.0009596844993141287,-120.22754662651124,6.252059220722779,624.46,699.61
0.0008584773662551441,0.0009600411522633745,-120.68327426541875,6.434251351684379,625.83,699.87
0.0008607133058984909,0.000953429355281207,-120.02840707180549,6.465531449540048,627.46,695.05
0.0008694787379972563,0.0009544170096021945,-119.01069512107037,6.481045259181336,633.85,695.77
0.0008767626886145405,0.0009572290809327847,-119.17510087880022,6.473112581709544,639.16,697.82
0.0008813305898491081,0.000954622770919067,-118.47090394691597,6.608034430307722,642.49,695.92
0.0008845679012345678,0.0009604115226337446,-117.46900840892556,6.823529328655414,644.85,700.14
0.0008898491083676266,0.0009563237311385456,-118.5675806105215,6.741780045991556,648.7,697.16
0.0008959259259259256,0.0009613305898491084,-120.47959164832086,6.6934303973013405,653.13,700.81
0.0008954046639231822,0.0009729218106995886,-121.50017992984978,6.728819462562182,652.75,709.26
0.0008954869684499312,0.0009830315500685873,-121.78386375854647,6.758106187197769,652.81,716.63
0.0008949931412894376,0.0009849382716049385,-121.16190642064542,6.903410305205647,652.45,718.02
0.0009074074074074076,0.0009857750342935527,-121.02590943826283,7.011483201096852,661.5,718.63
0.0009125102880658439,0.0009850205761316876,-121.13513706038145,6.920772103060491,665.22,718.08
0.0009124691358024695,0.0009817283950617284,-121.32304442049514,6.838305700758192,665.19,715.68
0.0009120850480109743,0.0009821124828532238,-121.55061288184484,6.897538474781585,664.91,715.96
0.0009162688614540465,0.000976584362139918,-121.99713885023156,6.860580112432086,667.96,711.93
0.0009165706447187928,0.0009745404663923185,-122.27132184690508,6.9472206555454985,668.18,710.44
0.0009197256515775035,0.0009745404663923184,-122.912524119116,7.064095499628941,670.48,710.44
0.0009185733882030178,0.0009741700960219482,-123.51847880539057,7.162590286777028,669.64,710.17
0.0009186694101508919,0.0009855281207133062,-124.61561592820367,7.183095799741604,669.71,718.45
0.0009233470507544582,0.0009887105624142663,-124.57054409933545,7.332242039325487,673.12,720.77
0.0009257887517146775,0.0009982030178326473,-125.32482731777625,7.3974834404796415,674.9,727.69
0.0009272839506172841,0.0009963100137174211,-125.8416173604705,7.323316651595938,675.99,726.31
0.0009298765432098765,0.000999945130315501,-125.62503955987539,7.259280497911974,677.88,728.96
0.0009274622770919067,0.0009992455418381344,-126.16366954068853,7.237671618086603,676.12,728.45
0.0009256790123456791,0.000996241426611797,-125.96047268312154,7.336559513306285,674.82,726.26
0.0009317969821673525,0.0009997256515775037,-125.61882791018654,7.527771552024848,679.28,728.8
0.0009355692729766805,0.0010044307270233198,-124.48890846208127,7.714452718768387,682.03,732.23
