yc0,P0,ycf,Pf,rhoco,rhome,ycf_s,Pf_s,rhoco_s,rhome_s
0.4,5,0.3989568038911279,-177554.1827151344,4.5707648e-05,6.8860264e-05,0.0474331801241867,1.0648184921771908,7.326949540709012e-06,8.476008097819632e-06
0.4,10,0.3989414680439393,9.891445012291753,9.183736e-05,0.00013836523200000002,0.04338693836750407,0.9209351286531532,1.3347472941587107e-05,1.6208774710575013e-05
0.4,15,0.4000404829948186,14.871497502778867,0.000139798272,0.00020966203999999998,0.04157031762553051,1.3753221616690778,1.9920748068433976e-05,2.3875315288523416e-05
0.4,20,0.3991623681356005,19.85318317977081,0.00018802081600000002,0.000283017616,0.03905060992661205,1.802526428147604,2.4972877305872142e-05,3.134343726212146e-05
0.4,25,0.3999819445700733,24.64491630375848,0.000236983936,0.000355502648,0.039368854181085086,2.2060712611325877,3.182108991011942e-05,3.770952908022184e-05
0.4,30,0.4012696386928335,29.63833545107409,0.000288388024,0.00043030084799999997,0.03644219303617563,2.581754596248226,3.749490343947326e-05,4.233066647943186e-05
0.4,35,0.39663180369664136,34.44226565529016,0.000335258128,0.0005100047199999999,0.034880618747947754,2.9816162293891466,4.04537219190474e-05,5.046822923679411e-05
0.4,40,0.3953505304666968,39.041717235932154,0.000383567304,0.0005866281920000001,0.035093789216738384,3.3629769381980266,4.688903877739001e-05,5.429020499820512e-05
0.4,45,0.3977357497385453,44.192853046011656,0.000442091056,0.0006694284799999999,0.03604688233732065,3.783529357980584,5.356661185900098e-05,6.539462731223108e-05
0.4,50,0.39630037760013376,48.89701614953951,0.000491813632,0.00074919864,0.03392087962902387,4.2505476222520855,5.767012169413705e-05,6.704827394054527e-05
0.4,55,0.3955957176160823,53.68015771342074,0.00054456464,0.000832003952,0.029388918117680168,4.787342154031453,5.871284575360319e-05,7.353828989035369e-05
0.4,60,0.3962871991321418,58.71368467437749,0.0006052780479999999,0.000922094144,0.03243567651414539,5.163389712491771,7.41499770609654e-05,7.925860914820083e-05
0.4,65,0.39862036090957426,63.82257402683194,0.000668992912,0.001009277888,0.029719928177192788,5.689613148359135,7.215087370537002e-05,7.960746986229028e-05
0.4,70,0.39669225634001776,68.0840177135982,0.000717633048,0.001091409192,0.029810465866555457,6.545146835167291,8.224839490999016e-05,9.091278179065436e-05
0.4,75,0.3926532632265235,72.60456987146469,0.000766047776,0.0011849044959999998,0.028668542169908114,7.072837287841783,8.517907111180437e-05,9.647651186933524e-05
0.4,80,0.3942545708278562,77.8967987516692,0.000836389224,0.0012850553599999999,0.027290526142891874,7.40265591330736,8.671392975972098e-05,9.743419438980546e-05
0.4,85,0.39259701896475807,81.51805818855411,0.000886161464,0.001371016816,0.026100089304115916,8.233578315247748,9.231938226812778e-05,0.00011134848123978227
0.4,90,0.3956026117632732,85.50605705883379,0.000952158928,0.001454698104,0.02643609391649634,8.374278099154612,0.00010008002753382325,0.00010759246559846643
0.4,95,0.3961746044739026,91.54214462144768,0.001032835672,0.001574185728,0.025128361463237558,8.919982434420962,0.0001040271747340877,0.00010793477191039972
0.4,100,0.3918223949887288,96.16782193504682,0.0010749562240000001,0.00166852204,0.024902305239043025,10.100797032858269,0.00010342825464862986,0.0001233858136882778
0.4,105,0.3925046185444877,101.52886198473931,0.001149379448,0.001778941376,0.02497449450396233,10.797256851184397,0.00010808609885419723,0.00011969249399608409
0.4,110,0.3985713122322765,106.15112597020634,0.0012399956240000001,0.001871105416,0.023626257604935343,11.14806644106637,0.00012008187660886477,0.0001306109525374153
0.4,115,0.3955850038439994,109.60700294220572,0.0012941641599999998,0.001977355608,0.024887912123142463,12.295807208958449,0.00013489953155941794,0.00013185425226741208
0.4,120,0.3964733947912883,115.63472116272601,0.00137554448,0.002093905168,0.024825338880395113,12.924497818324834,0.00014126431697153248,0.00013932278069890715
0.4,125,0.39443744455217256,120.8415399403738,0.0014502172879999999,0.002226455168,0.0224451955466979,14.274462558489898,0.00015204252074712868,0.00014605601958244576
