exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
88,0.2,69.98,76.81800000000004,34,1000,1000000,100000
89,0.2,59.980000000000004,76.81900000000002,34,1000,1000000,100000
90,0.2,59.980000000000004,76.81900000000002,34,1000,1000000,100000
91,0.2,49.980000000000004,76.81700000000001,34,1000,1000000,100000
92,0.2,49.980000000000004,76.81700000000001,34,1000,1000000,100000
93,0.2,39.980000000000004,76.82000000000005,34,1000,1000000,100000
94,0.2,39.980000000000004,76.82000000000005,34,1000,1000000,100000
95,0.2,29.980000000000004,76.82000000000005,34,1000,1000000,100000
96,0.2,29.980000000000004,76.82000000000005,34,1000,1000000,100000
97,0.2,19.93,76.82000000000005,34,1000,1000000,100000
98,0.2,19.93,76.82000000000005,34,1000,1000000,100000
99,0.2,19.93,76.82000000000005,34,1000,1000000,100000
100,0.2,9.98,76.82000000000005,34,1000,1000000,100000
101,0.2,9.98,76.82000000000005,34,1000,1000000,100000
102,0.2,9.98,76.82000000000005,34,1000,1000000,100000
103,0.2,199.39,101.79400000000004,34,1000,1000000,100000
104,0.2,190.82,101.79500000000002,34,1000,1000000,100000
105,0.2,179.88,101.79600000000005,34,1000,1000000,100000
106,0.2,169.89000000000001,101.793,34,1000,1000000,100000
107,0.2,159.93,101.79600000000005,34,1000,1000000,100000
108,0.2,149.91,101.79700000000003,34,1000,1000000,100000
109,0.2,139.93,101.79500000000002,34,1000,1000000,100000
110,0.2,129.93,101.79600000000005,34,1000,1000000,100000
111,0.2,119.94,101.79500000000002,34,1000,1000000,100000
112,0.2,109.94,101.79600000000005,34,1000,1000000,100000
113,0.2,99.94999999999999,101.79400000000004,34,1000,1000000,100000
114,0.2,88.82999999999998,101.79700000000003,34,1000,1000000,100000
115,0.2,79.3,101.79700000000003,34,1000,1000000,100000
116,0.2,69.97,101.79700000000003,34,1000,1000000,100000
117,0.2,60.019999999999996,101.79500000000002,34,1000,1000000,100000
118,0.2,49.989999999999995,101.79500000000002,34,1000,1000000,100000
119,0.2,39.97,101.79500000000002,34,1000,1000000,100000
120,0.2,29.980000000000004,101.79700000000003,34,1000,1000000,100000
121,0.2,20,101.80000000000001,34,1000,1000000,100000
122,0.2,9.92,101.79900000000004,34,1000,1000000,100000
123,0.2,148.09,126.86400000000003,34,1000,1000000,100000
124,0.2,139.9,126.86500000000001,34,1000,1000000,100000
125,0.2,129.89000000000001,126.86500000000001,34,1000,1000000,100000
126,0.2,119.91,126.86500000000001,34,1000,1000000,100000
127,0.2,109.91,126.86600000000004,34,1000,1000000,100000
128,0.2,99.93,126.86500000000001,34,1000,1000000,100000
129,0.2,89.94,126.86400000000003,34,1000,1000000,100000
130,0.2,79.96000000000001,126.86600000000004,34,1000,1000000,100000
131,0.2,70.02,126.868,34,1000,1000000,100000
132,0.2,59.97,126.86600000000004,34,1000,1000000,100000
133,0.2,49.989999999999995,126.86500000000001,34,1000,1000000,100000
134,0.2,39.980000000000004,126.86500000000001,34,1000,1000000,100000
135,0.2,29.980000000000004,126.868,34,1000,1000000,100000
136,0.2,19.94,126.86600000000004,34,1000,1000000,100000
137,0.2,9.98,126.86700000000002,34,1000,1000000,100000
138,0.4,188.01,1.8870000000000005,34,1000,1000000,100000
139,0.4,180.01000000000002,1.8799999999999955,34,1000,1000000,100000
140,0.4,160.92,1.879000000000019,34,1000,1000000,100000
141,0.4,141.08,1.8780000000000427,34,1000,1000000,100000
