yco,t_c,p_bar,rhoco,rhome
0.2,-23.09099999999998,177.2,2.9376352038457982,11.750540815383193
0.2,-23.08899999999997,170.09,2.8703522233521306,11.481408893408524
0.2,-23.087999999999965,160.01000000000002,2.7639918646574837,11.055967458629935
0.2,-23.08899999999997,149.59,2.637385596745863,10.549542386983452
0.2,-23.08699999999999,141.29,2.5214384764722197,10.08575390588888
0.2,-23.109999999999985,118.03,2.1024868262919476,8.409947305167792
0.2,-23.107999999999976,110.00999999999999,1.9215216788388647,7.686086715355459
0.2,-23.105999999999966,100.00999999999999,1.675695664232227,6.702782656928908
0.2,-23.10899999999998,90.02000000000001,1.4240824627900528,5.696329851160211
0.2,-23.11099999999999,79.99,1.1837755385042064,4.735102154016826
0.2,-23.10899999999998,69.99,0.9673384487380975,3.86935379495239
0.2,-23.11099999999999,60,0.776555422020893,3.106221688083572
0.2,-23.113999999999976,49.989999999999995,0.60869002496071,2.43476009984284
0.2,-23.103999999999985,39.97,0.4602570028658593,1.8410280114634372
0.2,-23.09699999999998,29.990000000000002,0.32820560229268747,1.3128224091707499
0.2,-23.09699999999998,20.04,0.20934639918646572,0.837385596745863
0.2,-23.09699999999998,9.96,0.09964870111860959,0.39859480447443835
0.2,1.8670000000000186,199.56,2.5524637145234355,10.209854858093744
0.2,1.8660000000000423,190.01000000000002,2.461098271239715,9.844393084958861
0.2,1.8640000000000327,179.86,2.3553573079412033,9.421429231764815
0.2,1.8610000000000468,170.07999999999998,2.244217435518166,8.976869742072664
0.2,1.8590000000000373,160.04999999999998,2.120264398631783,8.481057594527133
0.2,1.8590000000000373,150.03,1.985901821207359,7.943607284829436
0.2,1.8590000000000373,140.03,1.841943237496533,7.367772949986133
0.2,1.858000000000004,130.02,1.689581214754553,6.758324859018212
0.2,1.8590000000000373,120.02000000000001,1.5313395581029858,6.125358232411945
0.2,1.8590000000000373,110,1.3706480539890913,5.482592215956365
0.2,1.8590000000000373,100.03,1.211472681889618,4.845890727558472
0.2,1.8590000000000373,90.19999999999999,1.0588333179254876,4.235333271701951
0.2,1.8590000000000373,81.07,0.9227234908015162,3.690893963206065
0.2,1.8570000000000277,71.06,0.7812239992604233,3.1248959970416936
0.2,1.8540000000000418,60.08,0.6356013682166959,2.542405472866784
0.2,1.8550000000000182,50.010000000000005,0.5110381806415827,2.044152722566331
0.2,1.8540000000000418,40.17,0.39709716187482663,1.5883886474993067
0.2,1.8559999999999945,29.990000000000002,0.2867893131182398,1.1471572524729592
0.2,1.8540000000000418,19.9,0.18449662568179717,0.7379865027271887
0.2,1.8540000000000418,9.91,0.08916520292132753,0.35666081168531016
0.2,26.80000000000001,199.13,2.1023296662660624,8.40931866506425
0.2,26.80200000000002,189.95999999999998,2.014763797725802,8.059055190903209
0.2,26.807000000000016,179.98000000000002,1.9144494776740315,7.657797910696127
0.2,26.809000000000026,169.1,1.7994360728482943,7.197744291393178
0.2,26.80800000000005,161.23000000000002,1.713108995100305,6.85243598040122
0.2,26.810000000000002,149.99,1.5854303411297033,6.341721364518813
0.2,26.809000000000026,141.13,1.4819728205602292,5.9278912822409175
0.2,26.811000000000035,130.84,1.3596376074697236,5.4385504298788945
0.2,26.81400000000002,119.99000000000001,1.2294628824997689,4.917851529999076
0.2,26.817000000000007,109.99000000000001,1.1099288157529814,4.439715263011926
0.2,26.81800000000004,99.99000000000001,0.9916520292132753,3.9666081168531018
0.2,26.81800000000004,90,0.8757973560136821,3.5031894240547286
0.2,26.817000000000007,80.7,0.7706757881113063,3.0827031524452253
