yc0,P0,ycf,Pf,rhoco,rhome
0.6,5,0.5877632090930747,4.973872639384311,6.770888671875e-05,4.7488671875e-05
0.6,10,0.5980113347949696,10.132347510326998,0.00014093427734375,9.47373046875e-05
0.6,15,0.5847907304131247,14.297104731921655,0.00020039990234375,0.00014228662109374998
0.6,20,0.6085656678589233,19.81818263624026,0.00029172041015625,0.00018763691406249998
0.6,25,0.6058403644423589,24.3450354595692,0.00036109931640625,0.00023493115234375
0.6,30,0.598837976578557,30.33286472584048,0.00045110429687500003,0.00030219511718749994
0.6,35,0.6048869135802468,33.7613661410322,0.00052333203125,0.00034184130859375
0.6,40,0.6209841760627685,39.84098020672481,0.0006416248046875,0.00039161376953125
0.6,45,0.5854056386536401,43.33176694735315,0.0006726265625,0.00047636572265625
0.6,50,0.5972381455955098,47.280796492733884,0.0007761053710937499,0.00052338525390625
0.6,55,0.6007140028785544,52.40118843110764,0.0008775001953125,0.0005832618164062501
0.6,60,0.6127414192905923,57.34902477921863,0.0009970018554687498,0.00063011494140625
0.6,65,0.6107932636560361,61.72641563863753,0.0010717669921875,0.00068294619140625
0.6,70,0.6037733615359384,67.58858596368832,0.00119034189453125,0.00078116259765625
0.6,75,0.5963798162248846,72.374987074194,0.0012581146484375,0.0008514715820312499
0.6,80,0.620671374637338,77.52777684942858,0.00147867978515625,0.0009037078124999999
0.6,85,0.5962069661135829,78.09722152907557,0.001384803515625,0.0009378857421874999
0.6,90,0.6011353508493859,86.66573478094878,0.0016309464843749998,0.00108216376953125
0.6,95,0.5927863088042555,85.78505006458514,0.0017404845703125,0.00119562333984375
0.6,100,0.6121805038569661,95.57490934156709,0.0019233341796874998,0.00121844208984375
0.6,105,0.6270702750405467,112.55465621757217,0.00213279111328125,0.0012684083984375
0.6,110,0.6415451858299057,88.83482624304818,0.0022543225585937503,0.0012595726562500001
0.6,115,0.5988093817249028,95.99150671940899,0.0021631816406250002,0.0014492895507812497
0.6,120,0.6260169586989546,107.92824558273217,0.0027493443359375004,0.0016424605468749998
0.6,125,0.6300857596592443,112.11945004901743,0.0029368068359375,0.0017241568359375
0.6,130,0.6207337099630862,108.05245844614596,0.00298004130859375,0.0018207956054687503
0.6,135,0.628403753815174,119.39795955798103,0.0032061074218750004,0.0018958790039062502
0.6,140,0.6295641564578859,120.23862914711879,0.00340472685546875,0.00200334287109375
0.6,145,0.6355219921985654,111.61515993566466,0.0036077411132812496,0.0020690744140625
0.6,150,0.618862842808664,127.84469236615837,0.0036413030273437495,0.00224255810546875
0.6,155,0.6397880571315526,126.05563836676829,0.00385937275390625,0.00217289482421875
0.6,160,0.6242195076349669,140.6991470859362,0.0038032832031249996,0.00228957861328125
0.6,165,0.6401105296580707,144.47202536153765,0.004329653613281251,0.00243426201171875
0.6,170,0.6220406733666557,148.8698965907454,0.00421934453125,0.0025637240234375
0.6,175,0.6330561307192627,128.83951372362372,0.0042074988281250005,0.00243882939453125
0.6,180,0.6228181193762211,152.24040772613617,0.004343058300781251,0.0026301786132812504
0.6,185,0.6297986722026966,150.47554138463022,0.004400044140625,0.002586385546875
0.6,190,0.6205418166107741,152.41884356603498,0.00440573115234375,0.00269408232421875
0.6,195,0.6235160169818088,156.45751509113444,0.0045645888671875,0.0027561354492187497
0.6,200,0.6335369507168247,185.81560521447724,0.00492606328125,0.0028494315429687506
