,rhoco,rhome,En,P
0,0.0016210742187499994,0.0011050585937499996,12770445.688943813,1923086.6367869582
1,0.00161845703125,0.0011005859374999996,12785483.101590445,1920325.1958585284
2,0.0016067578124999995,0.0011033203125000001,12773736.364865966,1912211.4199245507
3,0.0015988476562499995,0.0011062890624999996,12761643.972109199,1906905.6955001345
4,0.00160177734375,0.001106875,12496371.921996225,1869647.183993251
5,0.0015966796874999998,0.0011020507812499998,12461272.046319623,1857572.5361009818
6,0.0015941601562499993,0.0011061718749999997,12213228.642950587,1821638.0526750141
7,0.0016080859374999995,0.0011053124999999997,12131020.68196857,1818103.929567944
8,0.0016263671874999996,0.0011086914062499995,12011237.70027656,1814520.5267094802
9,0.00163951171875,0.0011130664062499996,11913751.461453784,1811317.390151226
10,0.0016573632812499994,0.0011186132812499997,11802956.310502239,1809716.0527779672
11,0.00166583984375,0.0011249609374999999,11717625.60425903,1806216.6973173064
12,0.00166603515625,0.0011297656249999997,11020231.86146886,1701765.48907492
13,0.0016649609375,0.00113234375,10832865.507042214,1673704.8242945024
14,0.0016655468749999997,0.0011376953125000003,10809815.349020995,1673681.3285328387
15,0.0016733984375000002,0.0011365624999999998,1637372.7164223709,254133.69630208728
16,0.0016748632812500002,0.00113615234375,22532.26239326317,3570.7989321534233
17,0.00167048828125,0.00113423828125,22039.071812653117,3484.319742344332
18,0.0016734570312499997,0.0011328515625000004,20613.26273092688,3263.1071793981046
19,0.0016713281249999999,0.0011286523437500004,17523.15951273892,2774.587478276873
20,0.0016684375000000004,0.0011335546875,11239.969950198969,1799.74011344813
21,0.0016715039062500004,0.0011431054687500001,11087.32002783527,1783.1781332327796
22,0.0016745507812500001,0.001145390625,11060.678045900071,1782.4324607872707
23,0.0016910351562499997,0.0011428320312500003,10924.70197421744,1769.5005373351926
24,0.0016941210937500004,0.0011441015625000002,3810.911987123523,650.8025195799103
25,0.0016847851562500002,0.0011448046875,2577.6305627165116,453.2846264314004
26,0.0016813671874999997,0.0011479687499999997,2427.928119885933,428.9886092995768
27,0.00168294921875,0.00114875,2376.1206764704757,421.01085556790485
28,0.0016958984375,0.0011541992187499997,2145.263489250989,386.22248873827135
29,0.0017002539062500005,0.0011556640625,1422.9727673242169,271.45131239099874
30,0.0017070312500000002,0.0011559570312499995,1115.848028405629,222.68848097308938
31,0.0017207812500000003,0.0011564453125,1106.4262357936122,222.33525582294703
32,0.0017297851562499994,0.0011615039062499997,1054.9878780538247,214.68270880057412
33,0.0017372656250000005,0.0011664257812499998,1047.6981657167428,214.51773495031117
34,0.0017504492187500006,0.0011656054687499996,1041.8450947292831,214.59163628677143
35,0.0017504687500000003,0.001165078125,1035.9978470569322,213.74016296596454
36,0.0017522460937500007,0.00117279296875,1019.9007771230229,211.80876351849722
37,0.0017561328125,0.0011839453125,1010.5471446546337,211.29279626543314
38,0.0017649414062499997,0.0011917773437499998,1000.0860014591294,210.86077776251426
