rhocov,rhomev,Env,Pv,Ncov,Nmev
0.0,0.0008863220028495827,-1713.5141053314871,38.787949862330855,0.0,34.836
0.0,0.0013709800529208222,-3767.2511890067067,64.93106654615558,0.0,53.885
0.0,0.0013042692855688989,-2934.985956869415,56.7204752019333,0.0,51.263
0.0,0.0014966924486057398,-4074.7069366075116,68.74214081750615,0.0,58.826
0.0,0.0014547883167107675,-4641.711179619053,63.148612992889795,0.0,57.179
0.0,0.0014024781192753918,-3890.5213265915067,56.80183998144332,0.0,55.123
0.0,0.0011749694687563609,-2703.2758516785684,54.56097883606982,0.0,46.181
0.0,0.0016451760635049868,-5324.317476169242,71.65333451164283,0.0,64.662
0.0,0.0014176165275798902,-3841.1183865904545,61.59606782374889,0.0,55.718
0.0,0.00139924689599023,-3961.6995734471684,59.99300980423463,0.0,54.996
0.0,0.0011009312029309993,-2384.238746131932,48.50447927540685,0.0,43.271
0.0,0.001315336861388154,-3618.14052385657,59.20178859650086,0.0,51.698
0.0,0.0013936749440260532,-3935.8477302609444,59.63753015707548,0.0,54.777
0.0,0.001553480561774883,-4065.932924442091,73.87708644955724,0.0,61.058
0.0,0.0014414563403215958,-3824.683942983823,63.47353651549015,0.0,56.655
0.0,0.0011583808263789946,-2433.522409837235,50.4969442045333,0.0,45.529
0.0,0.0012758752289843275,-3165.978954340551,53.4756913281551,0.0,50.147
0.0,0.0012149908406269084,-2684.7563077330256,54.188985304455215,0.0,47.754
0.0,0.0013176775900671687,-3063.6155025025982,62.02079041370079,0.0,51.79
0.0,0.0013637543252595157,-3733.3424093798276,62.14974669629792,0.0,53.601
0.0,0.0011682525951557095,-2435.60828814448,54.85828929610955,0.0,45.917
0.0,0.0013580551597801751,-3402.169098231632,62.74817418629933,0.0,53.377
0.0,0.0014711479747608386,-3462.6798791974347,68.86962515808072,0.0,57.822
0.0,0.00136416140850804,-3657.4186507649333,57.465637148419646,0.0,53.617
0.0,0.0012305363321799309,-2753.349444352174,56.60437968097626,0.0,48.365
0.0,0.0012817524933848973,-3229.1325851197244,58.84524861696715,0.0,50.378
0.0,0.0014949623447995115,-4444.595292512759,64.12295037237645,0.0,58.758
0.0,0.001361947893344189,-3386.734192742046,59.41117038075885,0.0,53.53
0.0,0.0014585029513535517,-4152.193139644152,61.37920936430623,0.0,57.325
0.0,0.0013203745165886425,-3213.973286979016,61.9000658057354,0.0,51.896
0.0,0.0011865204559332386,-2508.2245682521398,54.20863995150414,0.0,46.635
0.0,0.0011929829025035619,-2747.0907391181963,54.705000954679825,0.0,46.889
0.0,0.0012738143700386727,-3309.0470898175713,53.69124655961089,0.0,50.066
0.0,0.001469239772033381,-4010.4096083609024,67.73572628890103,0.0,57.747
0.0,0.001345893547730511,-3417.51916222715,58.181305719359145,0.0,52.899
0.0,0.0017032108691227355,-6359.532507922348,72.5713093673592,0.0,66.943
0.0,0.0014417616527579891,-4246.610283499662,65.05808496637371,0.0,56.667
0.0,0.0011750457968654588,-2644.8800861219343,55.640863538598126,0.0,46.184
0.0,0.0014205678811316912,-3088.237545730862,74.4425667608938,0.0,55.834
0.0,0.001211683289232648,-2683.4609488669435,54.75764666164481,0.0,47.624
0.0,0.0013051343374720133,-3507.979660036619,56.36177072248734,0.0,51.297
0.0,0.0013086454304905354,-3015.316683590468,61.39440314532665,0.0,51.435
0.0,0.0012351160187258293,-2985.8007316644184,51.19475546119383,0.0,48.545
0.0,0.0012937360065133322,-3210.0354183392747,57.08172210481889,0.0,50.849
0.0,0.0013019794422959494,-3286.5265434657026,59.068676531470174,0.0,51.173
0.0,0.0012560044779157337,-2861.157074150878,57.48119674199678,0.0,49.366
0.0,0.0015658202727457764,-4680.262281144489,69.90223184884412,0.0,61.543
0.0,0.001221911255851822,-2732.1781481240087,55.378737250954174,0.0,48.026
0.0,0.001150035619784246,-2434.4572238827122,48.928924238853526,0.0,45.201
0.0,0.0013989415835538369,-3413.6655230916554,62.74036910690399,0.0,54.984
0.0,0.0013497862812945247,-3519.15063520466,56.06175905459642,0.0,53.052
0.0,0.0014513026663952777,-3546.0240218291765,70.57381250587667,0.0,57.042
0.0,0.0015427691837980866,-4239.242728930688,69.99898885046926,0.0,60.637
0.0,0.0014300071239568492,-3738.3051373427447,62.842063948967066,0.0,56.205
0.0,0.001249974557296967,-2770.555208078856,55.69925887577649,0.0,49.129
0.0,0.0013848463260736823,-3510.571385041193,60.60455970024222,0.0,54.43
0.0,0.001473081620191329,-4283.024184060738,70.47308740858436,0.0,57.898
0.0,0.0014800274781192756,-4003.422636456025,68.57632663214537,0.0,58.171
0.0,0.001434154284551191,-4027.9790474044653,58.5179447478485,0.0,56.368
0.0,0.0013909271320985143,-4167.133257460228,54.222483050583186,0.0,54.669
0.0,0.0015466619173621005,-4729.819560543941,67.95663444031321,0.0,60.79
0.0,0.0014391664970486464,-4110.283717252885,66.90309408190032,0.0,56.565
0.0,0.0013803429676368818,-3591.9883452458944,56.069887461346234,0.0,54.253
