yc0,P0,ycf,Pf,rhoco,rhome,ycf_s,Pf_s,rhoco_s,rhome_s
0.2,5,1.0339555499500033,-4.160288297590758e+16,-0.0027555330560000003,9.049290399999999e-05,0.015133726797128213,6749202236663290.0,0.0009005724345216197,9.171922927651759e-06
0.2,10,0.2008320964677135,-120.53150378955749,4.6522767999999994e-05,0.000185127296,0.03568800602897084,1.2532378604033465,9.655392154137293e-06,1.833120300646916e-05
0.2,15,0.2009894730932832,14.86933315634399,6.977227999999999e-05,0.000277371672,0.03424583684670384,1.3592497464344322,1.3732446526442403e-05,2.751756933721465e-05
0.2,20,0.19960418111462128,19.730888050934187,9.3028256e-05,0.000373035408,0.033809682096335864,1.7745817562661683,1.8104993462756733e-05,3.574384119617722e-05
0.2,25,0.20183952385477955,24.86442638173502,0.000118915656,0.00047024375999999996,0.033429163895826,2.155581860251465,2.2666038171891974e-05,4.297225465072086e-05
0.2,30,0.20013607177287449,29.643277311262146,0.000141941648,0.0005672840640000001,0.03021566577253918,2.6856677274427776,2.5594423677123427e-05,5.2506771573920866e-05
0.2,35,0.20076363884115125,34.626421163592745,0.00016793839200000002,0.000668559656,0.030440363592733062,2.934984296973614,3.0178633946127118e-05,5.709688153062008e-05
0.2,40,0.2034615385805474,39.19873851863035,0.000194635128,0.0007619836479999999,0.029263603022485426,3.375974547854832,3.282154750001309e-05,6.678531724626376e-05
0.2,45,0.19901402136896976,44.07137046194356,0.000215347688,0.0008667252560000001,0.027171544017066483,3.687301070217846,3.499016351145927e-05,6.725935284011039e-05
0.2,50,0.20365835564545648,48.9311502919458,0.00024625012,0.0009628832800000001,0.027255321530041475,4.164799488942776,3.83997993917885e-05,7.844197799439787e-05
0.2,55,0.2023216006138284,54.00374374673744,0.000272278928,0.001073493976,0.026365070518306985,4.637840026746967,4.25524124154062e-05,8.328683332464635e-05
0.2,60,0.2004594869432316,58.087604020825395,0.000294127752,0.001173140056,0.02534667912643809,5.036069784357263,4.3356208375946526e-05,9.289357442990804e-05
0.2,65,0.20113372472378124,63.40086387636191,0.0003225092,0.0012809474079999998,0.024878880752368687,5.197845904983835,4.797649312903143e-05,8.999547633663337e-05
0.2,70,0.1989576689532801,68.20842606992565,0.000347198144,0.0013978873599999999,0.02518140233285432,5.9921876530925875,5.0961488844923514e-05,0.00011025536803754455
0.2,75,0.2024232038269387,72.82284001461197,0.00037995263199999994,0.001497068504,0.023443791984699928,6.508749316909777,5.19017651940334e-05,0.00011294121737839548
0.2,80,0.20059577521661032,77.19732833141552,0.000403133608,0.00160654784,0.023198094624104264,7.1106988624007474,5.578889837068246e-05,0.00011503243248422769
0.2,85,0.20082168930251793,82.73071780970312,0.000436081776,0.001735405664,0.02266777601904968,7.496667881581265,5.7651555860755605e-05,0.0001199799337832752
0.2,90,0.20173549161533694,87.23156953264592,0.00046569448,0.00184274652,0.02090220919241761,7.947242574200272,5.6241641649951866e-05,0.00013071090507792225
0.2,95,0.19971561886024797,91.50278136204864,0.000486645136,0.001950045288,0.021886108979934617,8.237352132967228,6.397382775946352e-05,0.00012583437228206394
0.2,100,0.20245407856463046,96.9055042498254,0.000526275448,0.002073205144,0.021912343532456365,9.541508057259945,6.966391748696951e-05,0.00013077600802680614
0.2,105,0.2004780490601295,101.74573896680828,0.0005526573999999999,0.002204040416,0.020958093679369086,9.486178356020943,6.929921796008957e-05,0.00014636403265574143
0.2,110,0.20173071995044975,105.90505248190225,0.00058137016,0.002300541728,0.019728033983439995,10.38218998680696,6.755386665023993e-05,0.00014289033816469892
0.2,115,0.20010793050505854,110.12804830767516,0.0005995534080000001,0.0023965967519999996,0.02075746765518797,11.072485907354682,7.643394063896965e-05,0.00014160994317567708
0.2,120,0.20374160423076113,115.3731237944266,0.0006508483119999999,0.002543630864,0.019805985263978445,11.871478586657942,7.596898329164776e-05,0.0001654348914588138
0.2,125,0.20455503933439195,122.56914278091557,0.0006863391279999999,0.0026689393839999997,0.01945589963137792,12.144433723886142,7.742103276071442e-05,0.00016644429293229774
0.2,130,0.2029108743798522,124.62490062793736,0.000703908696,0.002765144888,0.019930336985799088,12.540910523165747,8.686303521454672e-05,0.00014422050509736633
0.2,135,0.2063905484731624,130.38516650522456,0.000755798064,0.002906181952,0.01835730198760596,13.208565935920774,8.267756903380689e-05,0.00014917834299280075
0.2,140,0.20506109510859233,135.57115172974207,0.000781599472,0.003029944944,0.01719329607287858,14.359573109439799,8.418621984021623e-05,0.0001513531544384486
0.2,145,0.206228006943218,138.40189205335642,0.000810882904,0.0031210898480000006,0.018189614890804562,14.604212614114896,9.184475538741875e-05,0.000175846364277482
0.2,150,0.20727449200489872,144.23209887254274,0.0008558426720000001,0.003273187696,0.01674593608497586,15.27184472681698,8.80184580963585e-05,0.0001639659240868894
0.2,155,0.20376558312901014,148.52605489217905,0.0008620614559999999,0.003368591448,0.01751477483276103,16.66567469224723,9.120530548107421e-05,0.00018577099658480405
0.2,160,0.20804760958996119,152.943698404465,0.000910474032,0.0034658032719999997,0.01583685819653752,16.620203637064883,8.7803863021162e-05,0.00017474949419622938
0.2,165,0.2064838345280269,156.7924186330795,0.000936055184,0.0035972545839999997,0.016309580147744758,17.307176288460624,8.961620281412365e-05,0.00018525470220138256
0.2,170,0.21088910890653206,164.99635983866472,0.000997869392,0.0037338561920000003,0.01534957012569645,18.25827984567956,8.833473588507716e-05,0.00016773821093700488
0.2,175,0.2102627242667779,168.67786790797913,0.001026110056,0.003854022928,0.016222088493597624,18.7334514426105,0.00010336020703197564,0.00019828060086090832
