yc0,P0,ycf,Pf,rhoco,rhome
0.0,4.9,0.0,4.918986306,0.0,0.00011260299999999999
0.0,10.0,0.0,10.11281624,0.0,0.000233428
0.0,19.8,0.0,20.80908307,0.0,0.00048571
0.0,30.1,0.0,31.07534897,0.0,0.000732305
0.0,40.2,0.0,43.02662617,0.0,0.0010293560000000002
0.0,50.0,0.0,53.86993362,0.0,0.001314672
0.0,60.1,0.0,65.3976409,0.0,0.0015936079999999998
0.0,69.7,0.0,75.42721024,0.0,0.0018721410000000001
0.0,79.9,0.0,87.29993448,0.0,0.002186641
0.0,90.0,0.0,100.55028229999999,0.0,0.002529967
0.0,99.8,0.0,115.5367439,0.0,0.0029332570000000003
0.0,109.7,0.0,127.8262485,0.0,0.00331481
0.0,119.3,0.0,141.06037780000003,0.0,0.003651186
0.0,130.2,0.0,150.8863154,0.0,0.0039046190000000002
0.0,139.8,0.0,166.65203369999998,0.0,0.004375512
0.0,150.1,0.0,182.777389,0.0,0.00475563
0.0,160.0,0.0,193.2598382,0.0,0.005013407
0.0,169.8,0.0,207.36590880000003,0.0,0.005300671
0.0,179.9,0.0,231.85822280000002,0.0,0.005815837
0.0,191.0,0.0,245.2644768,0.0,0.006096283
1.0,5.1,1.0,5.256843515,0.000122968,0.0
1.0,10.1,1.0,10.46572673,0.00024966400000000003,0.0
1.0,14.5,1.0,15.25677363,0.000373919,0.0
1.0,20.1,1.0,22.48483014,0.0005661230000000001,0.0
1.0,30.2,1.0,34.80702172,0.000959,0.0
1.0,40.0,1.0,49.35560604,0.0015268329999999998,0.0
1.0,49.9,1.0,72.71402617,0.0034415059999999996,0.0
1.0,61.3,1.0,146.9295909,0.011416228999999998,0.0
1.0,74.2,1.0,338.9633083,0.012611296000000001,0.0
1.0,81.8,1.0,316.37880079999996,0.012546247,0.0
1.0,82.2,1.0,398.0911233,0.012927458000000001,0.0
1.0,89.4,1.0,332.1110614,0.012795994,0.0
1.0,93.6,1.0,369.09542819999996,0.012989698999999999,0.0
1.0,97.0,1.0,523.931053,0.013473691999999999,0.0
1.0,99.8,1.0,493.47297869999994,0.013254886,0.0
1.0,102.7,1.0,506.9359903,0.013179492,0.0
1.0,107.6,1.0,460.139609,0.013233733999999999,0.0
1.0,115.5,1.0,517.3845263000001,0.013443036,0.0
1.0,129.3,1.0,487.74272080000003,0.013451392,0.0
1.0,144.5,1.0,511.39036289999996,0.013588707,0.0
1.0,176.6,1.0,671.6852464,0.013862713,0.0
0.2,9.7,0.19760216258897267,-1386834664.1984773,4.486074074074074e-05,0.0001821648148148148
0.2,20.0,0.21041236008391134,-4343575.041937113,0.00010178814814814814,0.0003819674074074074
0.2,39.5,0.22438494733944972,-5582.702830875411,0.0002364285185185185,0.0008172451851851852
0.2,60.8,0.242605187,69.86670036,0.00044435,0.0013872270000000002
0.2,80.8,0.257016785,95.20486996,0.000674632,0.001950224
0.2,99.8,0.296752045,132.18269840000002,0.00120435,0.00285409
0.2,120.2,0.290302482,159.7029793,0.001402453,0.0034285540000000003
0.2,140.0,0.34573728600000003,219.9571059,0.002357952,0.0044621159999999995
0.2,159.1,0.37020522,255.88352709999998,0.002887667,0.004912511
0.2,180.9,0.364934795,285.7217865,0.0030879320000000003,0.0053736669999999995
0.4,9.3,0.4074600103263012,-2679681.13247333,9.14851851851852e-05,0.00013304037037037037
0.4,20.1,0.41168352862193186,-25888.995712540454,0.00020849148148148147,0.0002979448148148148
0.4,39.0,0.43381869812602547,42.786781642147254,0.00047562259259259254,0.0006207399999999999
0.4,61.2,0.4634255966825624,73.53173282752181,0.0009424677777777777,0.0010912303703703703
0.4,80.1,0.503699953879081,103.4851041178685,0.001723945925925926,0.0016986192592592592
0.4,100.3,0.5846529902565324,147.97927321969303,0.0038213603703703704,0.0027147566666666668
0.4,119.9,0.6924958734265002,267.42110946251415,0.006908333703703704,0.0030676588888888896
0.4,140.2,0.7028291272146876,304.1471648257648,0.007630012962962963,0.0032261292592592598
0.4,160.3,0.6777648692478921,354.47365700105087,0.00760244962962963,0.0036144929629629624
0.4,179.6,0.7249875190444245,403.7145684607832,0.008354918888888889,0.003169305555555556
0.6,10.4,0.61089247736257,-2858852876.5093155,0.00015361999999999998,9.784814814814814e-05
0.6,19.3,0.6206467338774584,17.544749761578167,0.0003098859259259259,0.00018940925925925922
0.6,40.5,0.6420831224593444,46.70161257947833,0.0008039762962962962,0.00044816111111111107
0.6,61.1,0.6731102060386138,78.82992774757972,0.0017345855555555554,0.0008423855555555555
0.6,79.3,0.7950521244163883,124.02846793779528,0.006191321481481482,0.0015959937037037038
0.6,101.0,0.8554076304209874,217.55728305576946,0.009432498518518517,0.0015944062962962963
0.6,121.0,0.8482367532642118,300.0932103191057,0.009920501111111112,0.0017749377777777778
0.6,140.7,0.8393921227117322,364.00398743977394,0.010079464444444443,0.001928587777777778
0.6,160.8,0.8420392480913674,511.46950776315396,0.010647532962962962,0.001997403703703704
0.6,180.7,0.8030303790530983,513.5024454683775,0.010136232222222222,0.0024862444444444442
0.6,190.1,0.8486681376729215,537.717688520472,0.01103347222222222,0.0019674544444444443
0.8,20.5,-0.09884124272223506,-511828797107.324,0.0004443085185185185,-0.004939481851851852
0.8,35.2,0.8240093561520484,-2668.028451099845,0.0009516929629629629,0.00020326111111111105
0.8,46.6,0.8432907240290497,59.13217318743214,0.0015436674074074076,0.0002868607407407408
0.8,69.7,0.943229639278695,198.1199402369518,0.010602966296296298,0.000638162962962963
0.8,88.3,0.9417588916436471,201.74661135543377,0.011028492962962962,0.000682034074074074
0.8,108.0,0.9405324598168164,213.38446993243554,0.01114801037037037,0.0007048611111111111
0.8,126.7,0.9339926275378805,460.24552527513316,0.011968323703703702,0.0008458285185185186
0.8,139.9,0.9410725761055007,397.8955775509908,0.012244829259259262,0.0007667381481481481
0.8,159.9,0.9424098777985971,559.5574190988002,0.012565777777777776,0.0007678874074074074
0.8,171.3,0.9232980475006403,532.9002493791334,0.012164174444444445,0.0010105251851851853
