"exp","yco","t_c","p_bar","s_box","n_moves","n_equil","n_prod"
1,1,62.2,70,34,1000,1000000,100000
2,0.2,62.3,138.2,34,1000,1000000,100000
3,0.2,62.3,174.4,34,1000,1000000,100000
