Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
30.000	5.0000	0.19999	5.0002	12.217	14.717	94.255	27.659	36.347	450.71	0.42062	11.290	0.034914	vapor
30.000	10.000	0.40325	2.4798	12.160	14.640	88.306	27.736	36.814	449.32	0.41765	11.362	0.035246	vapor
30.000	15.000	0.60982	1.6398	12.103	14.563	84.748	27.813	37.298	448.01	0.41448	11.439	0.035593	vapor
30.000	20.000	0.81972	1.2199	12.046	14.486	82.167	27.890	37.798	446.81	0.41109	11.522	0.035955	vapor
30.000	25.000	1.0330	0.96808	11.988	14.408	80.121	27.968	38.316	445.72	0.40747	11.611	0.036334	vapor
30.000	30.000	1.2496	0.80027	11.929	14.329	78.413	28.045	38.852	444.73	0.40360	11.706	0.036730	vapor
30.000	35.000	1.4696	0.68048	11.869	14.251	76.938	28.122	39.404	443.87	0.39947	11.808	0.037146	vapor
30.000	40.000	1.6929	0.59071	11.809	14.172	75.633	28.199	39.974	443.13	0.39507	11.917	0.037581	vapor
30.000	45.000	1.9195	0.52096	11.749	14.093	74.457	28.276	40.561	442.53	0.39039	12.032	0.038037	vapor
30.000	50.000	2.1494	0.46524	11.688	14.014	73.384	28.353	41.163	442.08	0.38541	12.155	0.038514	vapor
30.000	50.000	2.1494	0.46524	11.688	14.014	73.384	28.353	41.163	442.08	0.38541	12.155	0.038514	supercritical
30.000	50.000	2.1494	0.46524	11.688	14.014	73.384	28.353	41.163	442.08	0.38541	12.155	0.038514	supercritical
30.000	55.000	2.3825	0.41972	11.626	13.934	72.394	28.428	41.781	441.78	0.38014	12.285	0.039013	supercritical
30.000	60.000	2.6188	0.38186	11.564	13.855	71.472	28.503	42.413	441.65	0.37457	12.422	0.039535	supercritical
30.000	65.000	2.8580	0.34989	11.501	13.776	70.607	28.578	43.058	441.68	0.36870	12.566	0.040081	supercritical
30.000	70.000	3.1002	0.32256	11.438	13.696	69.791	28.651	43.714	441.90	0.36253	12.718	0.040651	supercritical
30.000	75.000	3.3450	0.29895	11.375	13.617	69.018	28.722	44.379	442.31	0.35607	12.878	0.041245	supercritical
30.000	80.000	3.5924	0.27837	11.311	13.538	68.282	28.793	45.052	442.93	0.34932	13.045	0.041863	supercritical
30.000	85.000	3.8421	0.26028	11.247	13.460	67.580	28.862	45.728	443.74	0.34230	13.220	0.042506	supercritical
30.000	90.000	4.0938	0.24427	11.183	13.382	66.907	28.929	46.407	444.78	0.33502	13.403	0.043174	supercritical
30.000	95.000	4.3474	0.23002	11.119	13.304	66.260	28.994	47.084	446.03	0.32751	13.594	0.043865	supercritical
30.000	100.00	4.6025	0.21727	11.055	13.228	65.638	29.058	47.757	447.52	0.31977	13.792	0.044579	supercritical
30.000	105.00	4.8589	0.20581	10.991	13.152	65.039	29.119	48.423	449.24	0.31184	13.997	0.045315	supercritical
30.000	110.00	5.1160	0.19546	10.927	13.077	64.461	29.178	49.078	451.20	0.30374	14.210	0.046072	supercritical
30.000	115.00	5.3737	0.18609	10.863	13.003	63.902	29.235	49.719	453.40	0.29549	14.430	0.046848	supercritical
30.000	120.00	5.6316	0.17757	10.799	12.930	63.362	29.289	50.343	455.84	0.28713	14.657	0.047642	supercritical
30.000	125.00	5.8892	0.16980	10.736	12.858	62.839	29.341	50.947	458.53	0.27869	14.891	0.048452	supercritical
30.000	130.00	6.1462	0.16270	10.673	12.788	62.333	29.391	51.527	461.46	0.27019	15.130	0.049276	supercritical
30.000	135.00	6.4023	0.15619	10.610	12.719	61.843	29.438	52.081	464.63	0.26167	15.376	0.050111	supercritical
30.000	140.00	6.6569	0.15022	10.548	12.652	61.368	29.483	52.607	468.04	0.25315	15.627	0.050956	supercritical
30.000	145.00	6.9098	0.14472	10.487	12.586	60.908	29.526	53.102	471.69	0.24465	15.883	0.051808	supercritical
30.000	150.00	7.1607	0.13965	10.427	12.522	60.462	29.566	53.565	475.56	0.23621	16.144	0.052665	supercritical
30.000	155.00	7.4091	0.13497	10.367	12.459	60.030	29.604	53.994	479.65	0.22785	16.410	0.053524	supercritical
30.000	160.00	7.6547	0.13064	10.308	12.399	59.611	29.640	54.390	483.95	0.21959	16.679	0.054384	supercritical
30.000	165.00	7.8974	0.12662	10.251	12.340	59.205	29.673	54.750	488.46	0.21145	16.951	0.055243	supercritical
30.000	170.00	8.1367	0.12290	10.194	12.283	58.811	29.705	55.075	493.16	0.20345	17.227	0.056099	supercritical
30.000	175.00	8.3725	0.11944	10.138	12.228	58.430	29.735	55.366	498.04	0.19561	17.505	0.056950	supercritical
30.000	180.00	8.6046	0.11622	10.083	12.175	58.060	29.763	55.623	503.09	0.18794	17.784	0.057796	supercritical
30.000	185.00	8.8327	0.11322	10.029	12.123	57.701	29.789	55.847	508.31	0.18046	18.066	0.058634	supercritical
30.000	190.00	9.0568	0.11041	9.9759	12.074	57.354	29.814	56.039	513.67	0.17316	18.349	0.059464	supercritical
30.000	195.00	9.2767	0.10780	9.9242	12.026	57.017	29.838	56.201	519.17	0.16607	18.632	0.060285	supercritical
30.000	200.00	9.4924	0.10535	9.8735	11.980	56.690	29.860	56.335	524.79	0.15918	18.917	0.061096	supercritical
