Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
45.000	5.0000	0.19293	5.1834	20.284	22.876	109.31	30.140	39.281	274.18	0.92860	15.915	0.018399	vapor
45.000	10.000	0.39422	2.5367	20.154	22.690	103.14	30.573	40.656	270.96	0.92945	15.984	0.018701	vapor
45.000	15.000	0.60480	1.6534	20.018	22.498	99.333	31.028	42.188	267.68	0.92996	16.064	0.019040	vapor
45.000	20.000	0.82579	1.2110	19.876	22.298	96.487	31.507	43.909	264.33	0.93004	16.159	0.019420	vapor
45.000	25.000	1.0585	0.94474	19.727	22.089	94.153	32.013	45.857	260.91	0.92959	16.270	0.019849	vapor
45.000	30.000	1.3045	0.76656	19.571	21.871	92.131	32.551	48.086	257.40	0.92848	16.399	0.020338	vapor
45.000	35.000	1.5659	0.63863	19.407	21.642	90.312	33.125	50.664	253.81	0.92654	16.551	0.020899	vapor
45.000	40.000	1.8449	0.54202	19.233	21.401	88.630	33.741	53.683	250.12	0.92356	16.729	0.021549	vapor
45.000	45.000	2.1449	0.46623	19.048	21.146	87.037	34.409	57.273	246.34	0.91927	16.941	0.022313	vapor
45.000	50.000	2.4697	0.40490	18.849	20.874	85.499	35.137	61.618	242.45	0.91329	17.193	0.023222	vapor
45.000	55.000	2.8248	0.35400	18.635	20.582	83.986	35.940	66.993	238.44	0.90515	17.497	0.024322	vapor
45.000	60.000	3.2176	0.31079	18.401	20.265	82.471	36.836	73.817	234.31	0.89419	17.869	0.025679	vapor
45.000	65.000	3.6584	0.27334	18.142	19.919	80.924	37.850	82.771	230.05	0.87946	18.331	0.027389	vapor
45.000	70.000	4.1628	0.24022	17.853	19.534	79.311	39.016	95.018	225.66	0.85961	18.920	0.029603	vapor
45.000	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.696	0.032559	vapor
45.000	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.696	0.032559	supercritical
45.000	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.696	0.032559	supercritical
45.000	80.000	5.4772	0.18258	17.126	18.587	75.672	41.999	140.01	216.57	0.79497	20.771	0.036653	supercritical
45.000	85.000	6.4034	0.15617	16.642	17.969	73.464	43.910	185.72	212.18	0.74114	22.365	0.042529	supercritical
45.000	90.000	7.6691	0.13039	16.018	17.191	70.794	45.993	264.39	208.98	0.66163	24.957	0.050918	supercritical
45.000	95.000	9.4197	0.10616	15.226	16.235	67.601	47.426	363.95	210.72	0.55090	29.390	0.060768	supercritical
45.000	100.00	11.321	0.088328	14.443	15.326	64.595	46.891	355.66	224.75	0.42984	35.437	0.066100	supercritical
45.000	105.00	12.742	0.078480	13.890	14.714	62.541	45.448	283.28	247.64	0.33853	40.895	0.067722	supercritical
45.000	110.00	13.705	0.072966	13.521	14.323	61.194	44.266	230.20	270.83	0.27773	45.111	0.068993	supercritical
45.000	115.00	14.403	0.069430	13.252	14.051	60.225	43.449	197.87	291.78	0.23606	48.458	0.070507	supercritical
45.000	120.00	14.945	0.066911	13.042	13.845	59.472	42.873	176.72	310.51	0.20565	51.242	0.072093	supercritical
45.000	125.00	15.388	0.064987	12.869	13.682	58.854	42.446	161.83	327.40	0.18234	53.642	0.073651	supercritical
45.000	130.00	15.761	0.063447	12.722	13.547	58.329	42.113	150.78	342.79	0.16379	55.764	0.075144	supercritical
45.000	135.00	16.085	0.062170	12.593	13.433	57.872	41.843	142.25	356.98	0.14861	57.676	0.076565	supercritical
45.000	140.00	16.371	0.061085	12.479	13.334	57.465	41.619	135.45	370.17	0.13591	59.427	0.077914	supercritical
45.000	145.00	16.627	0.060144	12.375	13.248	57.098	41.429	129.90	382.53	0.12510	61.046	0.079195	supercritical
45.000	150.00	16.859	0.059315	12.281	13.171	56.763	41.266	125.28	394.18	0.11575	62.558	0.080415	supercritical
45.000	155.00	17.072	0.058575	12.194	13.102	56.454	41.125	121.36	405.22	0.10757	63.981	0.081580	supercritical
45.000	160.00	17.268	0.057909	12.113	13.040	56.167	41.001	117.99	415.72	0.10033	65.328	0.082694	supercritical
45.000	165.00	17.451	0.057303	12.038	12.983	55.899	40.892	115.06	425.74	0.093878	66.609	0.083763	supercritical
45.000	170.00	17.622	0.056748	11.967	12.932	55.647	40.796	112.48	435.34	0.088074	67.833	0.084791	supercritical
45.000	175.00	17.782	0.056236	11.900	12.884	55.409	40.711	110.19	444.55	0.082820	69.007	0.085782	supercritical
45.000	180.00	17.933	0.055762	11.837	12.840	55.183	40.636	108.14	453.40	0.078036	70.136	0.086739	supercritical
45.000	185.00	18.077	0.055320	11.776	12.800	54.968	40.568	106.29	461.94	0.073658	71.226	0.087665	supercritical
45.000	190.00	18.213	0.054907	11.719	12.762	54.763	40.508	104.61	470.18	0.069632	72.280	0.088563	supercritical
45.000	195.00	18.342	0.054519	11.664	12.727	54.566	40.455	103.08	478.15	0.065915	73.302	0.089434	supercritical
45.000	200.00	18.466	0.054153	11.611	12.694	54.377	40.407	101.68	485.86	0.062471	74.295	0.090281	supercritical
