Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
45.000	5.0000	0.19030	5.2549	12.639	15.266	96.023	28.254	36.900	460.93	0.37936	11.766	0.037037	vapor
45.000	10.000	0.38317	2.6098	12.586	15.196	90.096	28.320	37.309	459.86	0.37641	11.835	0.037350	vapor
45.000	15.000	0.57861	1.7283	12.533	15.126	86.559	28.386	37.730	458.88	0.37331	11.909	0.037675	vapor
45.000	20.000	0.77662	1.2876	12.480	15.055	84.001	28.452	38.163	458.00	0.37003	11.988	0.038014	vapor
45.000	25.000	0.97719	1.0233	12.426	14.984	81.978	28.518	38.607	457.21	0.36658	12.072	0.038365	vapor
45.000	30.000	1.1803	0.84725	12.372	14.914	80.294	28.583	39.062	456.53	0.36295	12.161	0.038732	vapor
45.000	35.000	1.3859	0.72155	12.317	14.843	78.843	28.649	39.530	455.95	0.35912	12.256	0.039114	vapor
45.000	40.000	1.5940	0.62735	12.262	14.772	77.563	28.714	40.008	455.49	0.35510	12.356	0.039511	vapor
45.000	45.000	1.8045	0.55417	12.207	14.701	76.414	28.778	40.496	455.15	0.35088	12.462	0.039925	vapor
45.000	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.573	0.040355	vapor
45.000	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.573	0.040355	supercritical
45.000	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.573	0.040355	supercritical
45.000	55.000	2.2325	0.44792	12.095	14.559	74.404	28.905	41.503	454.87	0.34181	12.691	0.040803	supercritical
45.000	60.000	2.4499	0.40818	12.039	14.488	73.509	28.968	42.019	454.93	0.33695	12.814	0.041269	supercritical
45.000	65.000	2.6694	0.37462	11.982	14.417	72.673	29.030	42.543	455.14	0.33189	12.943	0.041753	supercritical
45.000	70.000	2.8909	0.34592	11.925	14.347	71.886	29.091	43.073	455.50	0.32663	13.078	0.042256	supercritical
45.000	75.000	3.1142	0.32111	11.868	14.276	71.141	29.151	43.608	456.02	0.32116	13.218	0.042777	supercritical
45.000	80.000	3.3392	0.29947	11.811	14.207	70.435	29.210	44.147	456.70	0.31549	13.365	0.043316	supercritical
45.000	85.000	3.5658	0.28044	11.753	14.137	69.761	29.267	44.687	457.55	0.30964	13.518	0.043875	supercritical
45.000	90.000	3.7938	0.26359	11.696	14.068	69.117	29.324	45.228	458.57	0.30361	13.677	0.044452	supercritical
45.000	95.000	4.0229	0.24858	11.638	14.000	68.500	29.379	45.768	459.78	0.29742	13.842	0.045047	supercritical
45.000	100.00	4.2531	0.23513	11.581	13.932	67.907	29.433	46.304	461.16	0.29107	14.013	0.045659	supercritical
45.000	105.00	4.4840	0.22302	11.523	13.865	67.337	29.485	46.835	462.73	0.28458	14.189	0.046289	supercritical
45.000	110.00	4.7154	0.21207	11.466	13.799	66.787	29.536	47.359	464.49	0.27798	14.371	0.046936	supercritical
45.000	115.00	4.9471	0.20214	11.409	13.733	66.256	29.585	47.875	466.44	0.27127	14.559	0.047598	supercritical
45.000	120.00	5.1789	0.19309	11.352	13.669	65.743	29.633	48.379	468.58	0.26447	14.752	0.048275	supercritical
45.000	125.00	5.4105	0.18482	11.295	13.606	65.246	29.679	48.871	470.91	0.25761	14.950	0.048965	supercritical
45.000	130.00	5.6417	0.17725	11.239	13.543	64.766	29.723	49.349	473.43	0.25070	15.153	0.049668	supercritical
45.000	135.00	5.8722	0.17029	11.183	13.482	64.300	29.766	49.811	476.14	0.24375	15.361	0.050381	supercritical
45.000	140.00	6.1017	0.16389	11.127	13.422	63.849	29.807	50.255	479.04	0.23679	15.573	0.051105	supercritical
45.000	145.00	6.3301	0.15798	11.072	13.363	63.411	29.846	50.681	482.12	0.22984	15.790	0.051836	supercritical
45.000	150.00	6.5570	0.15251	11.018	13.305	62.986	29.884	51.086	485.38	0.22291	16.011	0.052575	supercritical
45.000	155.00	6.7823	0.14744	10.964	13.249	62.573	29.920	51.471	488.83	0.21602	16.235	0.053319	supercritical
45.000	160.00	7.0057	0.14274	10.910	13.194	62.173	29.955	51.834	492.44	0.20918	16.463	0.054066	supercritical
45.000	165.00	7.2270	0.13837	10.858	13.141	61.784	29.988	52.175	496.23	0.20241	16.694	0.054817	supercritical
45.000	170.00	7.4461	0.13430	10.805	13.089	61.406	30.020	52.494	500.17	0.19572	16.928	0.055568	supercritical
45.000	175.00	7.6627	0.13050	10.754	13.038	61.039	30.050	52.789	504.27	0.18912	17.165	0.056320	supercritical
45.000	180.00	7.8767	0.12696	10.703	12.989	60.682	30.079	53.062	508.52	0.18263	17.404	0.057070	supercritical
45.000	185.00	8.0879	0.12364	10.654	12.941	60.335	30.107	53.311	512.91	0.17625	17.645	0.057818	supercritical
45.000	190.00	8.2962	0.12054	10.605	12.895	59.998	30.133	53.539	517.43	0.17000	17.887	0.058563	supercritical
45.000	195.00	8.5015	0.11763	10.556	12.850	59.670	30.159	53.744	522.08	0.16387	18.131	0.059304	supercritical
45.000	200.00	8.7037	0.11489	10.509	12.807	59.351	30.183	53.929	526.85	0.15788	18.377	0.060040	supercritical
