"Tong, J.; Liu, Y. J. Eng. Thermophys., 1984, 5(2), 119-124 The Experimental Study and Correlation of PVT Relation of Binary Gas Mixture of Carbon Dioxide-Methane",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.5104,382.282538,11065700,117.9601035
2,0.5104,383.492296,10398980,111.3494352
3,0.5104,387.12157,11378800,119.0891778
4,0.5104,404.598074,12378880,123.4651719
5,0.5104,440.671929,12044500,106.6593347
