Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
60.000	5.0000	0.18369	5.4441	20.746	23.468	111.14	30.714	39.741	280.41	0.82757	16.625	0.019566	vapor
60.000	10.000	0.37409	2.6732	20.628	23.302	105.02	31.065	40.887	277.66	0.82762	16.697	0.019852	vapor
60.000	15.000	0.57181	1.7488	20.507	23.130	101.28	31.430	42.139	274.88	0.82731	16.779	0.020166	vapor
60.000	20.000	0.77752	1.2861	20.381	22.953	98.499	31.809	43.514	272.07	0.82659	16.872	0.020511	vapor
60.000	25.000	0.99201	1.0081	20.250	22.770	96.245	32.203	45.031	269.24	0.82539	16.979	0.020891	vapor
60.000	30.000	1.2162	0.82225	20.114	22.581	94.312	32.613	46.714	266.38	0.82364	17.100	0.021313	vapor
60.000	35.000	1.4511	0.68914	19.973	22.385	92.595	33.042	48.592	263.49	0.82123	17.238	0.021782	vapor
60.000	40.000	1.6979	0.58895	19.826	22.182	91.029	33.490	50.699	260.58	0.81804	17.395	0.022307	vapor
60.000	45.000	1.9582	0.51068	19.672	21.970	89.570	33.961	53.081	257.65	0.81396	17.576	0.022898	vapor
60.000	50.000	2.2336	0.44772	19.511	21.749	88.190	34.455	55.793	254.70	0.80880	17.782	0.023567	vapor
60.000	55.000	2.5261	0.39587	19.341	21.519	86.865	34.977	58.906	251.75	0.80238	18.020	0.024329	vapor
60.000	60.000	2.8382	0.35233	19.162	21.276	85.578	35.528	62.512	248.81	0.79445	18.296	0.025204	vapor
60.000	65.000	3.1730	0.31516	18.973	21.021	84.312	36.112	66.730	245.89	0.78474	18.616	0.026216	vapor
60.000	70.000	3.5341	0.28296	18.771	20.752	83.056	36.733	71.716	243.01	0.77290	18.992	0.027395	vapor
60.000	75.000	3.9259	0.25472	18.556	20.466	81.795	37.395	77.672	240.20	0.75853	19.436	0.028777	vapor
60.000	75.000	3.9259	0.25472	18.556	20.466	81.795	37.395	77.672	240.20	0.75853	19.436	0.028777	supercritical
60.000	75.000	3.9259	0.25472	18.556	20.466	81.795	37.395	77.672	240.20	0.75853	19.436	0.028777	supercritical
60.000	80.000	4.3541	0.22967	18.325	20.162	80.519	38.102	84.869	237.52	0.74112	19.964	0.030408	supercritical
60.000	85.000	4.8256	0.20723	18.075	19.836	79.214	38.857	93.647	235.02	0.72011	20.601	0.032340	supercritical
60.000	90.000	5.3486	0.18696	17.804	19.487	77.868	39.657	104.42	232.80	0.69481	21.376	0.034630	supercritical
60.000	95.000	5.9329	0.16855	17.509	19.110	76.471	40.495	117.63	231.03	0.66446	22.331	0.037329	supercritical
60.000	100.00	6.5883	0.15178	17.187	18.705	75.015	41.347	133.47	229.93	0.62836	23.517	0.040459	supercritical
60.000	105.00	7.3216	0.13658	16.839	18.273	73.501	42.166	151.49	229.87	0.58614	24.995	0.043969	supercritical
60.000	110.00	8.1299	0.12300	16.468	17.821	71.950	42.875	169.81	231.33	0.53843	26.815	0.047686	supercritical
60.000	115.00	8.9931	0.11120	16.086	17.365	70.406	43.384	185.09	234.86	0.48714	28.992	0.051331	supercritical
60.000	120.00	9.8711	0.10131	15.711	16.927	68.933	43.637	193.60	240.91	0.43513	31.467	0.054600	supercritical
60.000	125.00	10.714	0.093337	15.362	16.529	67.591	43.632	193.69	249.47	0.38558	34.103	0.057326	supercritical
60.000	130.00	11.483	0.087087	15.050	16.182	66.416	43.429	187.42	260.07	0.34105	36.744	0.059573	supercritical
60.000	135.00	12.162	0.082221	14.778	15.888	65.406	43.130	178.23	271.92	0.30264	39.277	0.061504	supercritical
60.000	140.00	12.756	0.078398	14.543	15.640	64.542	42.805	168.48	284.33	0.27016	41.649	0.063246	supercritical
60.000	145.00	13.273	0.075342	14.338	15.430	63.796	42.490	159.31	296.85	0.24281	43.848	0.064863	supercritical
60.000	150.00	13.726	0.072853	14.158	15.251	63.147	42.199	151.14	309.20	0.21972	45.881	0.066388	supercritical
60.000	155.00	14.127	0.070784	13.999	15.096	62.575	41.935	144.04	321.24	0.20012	47.765	0.067837	supercritical
60.000	160.00	14.485	0.069035	13.857	14.961	62.065	41.700	137.95	332.89	0.18335	49.518	0.069219	supercritical
60.000	165.00	14.808	0.067531	13.728	14.842	61.605	41.493	132.70	344.12	0.16886	51.158	0.070539	supercritical
60.000	170.00	15.101	0.066221	13.611	14.736	61.187	41.309	128.16	354.93	0.15624	52.698	0.071803	supercritical
60.000	175.00	15.369	0.065066	13.503	14.641	60.804	41.148	124.19	365.34	0.14514	54.153	0.073013	supercritical
60.000	180.00	15.616	0.064038	13.403	14.556	60.449	41.005	120.69	375.37	0.13529	55.532	0.074173	supercritical
60.000	185.00	15.844	0.063114	13.310	14.478	60.120	40.878	117.60	385.04	0.12649	56.844	0.075288	supercritical
60.000	190.00	16.057	0.062277	13.223	14.407	59.812	40.766	114.83	394.38	0.11858	58.098	0.076362	supercritical
60.000	195.00	16.257	0.061514	13.142	14.341	59.524	40.666	112.35	403.40	0.11143	59.298	0.077396	supercritical
60.000	200.00	16.444	0.060814	13.065	14.281	59.251	40.577	110.11	412.13	0.10493	60.451	0.078395	supercritical
