rhocov,rhomev,Env,Pv,Ncov,Nmev
0.0,0.0016366527579890087,-5926.245106086752,61.517496186061415,0.0,64.327
0.0,0.00289428556889884,-14792.390363339051,109.45016472973232,0.0,113.757
0.0,0.0030879045389782213,-17722.06342104156,107.35579449891381,0.0,121.367
0.0,0.003236184612253206,-19259.65783796295,112.97879112663577,0.0,127.195
0.0,0.003573554854467739,-23522.499832287493,143.95310729736502,0.0,140.455
0.0,0.0039034703846936697,-28026.939597851888,166.7959895143973,0.0,153.422
0.0,0.004050249338489721,-31179.95596398086,153.63620486960326,0.0,159.191
0.0,0.004170924078974151,-33402.00449100604,163.35543835504913,0.0,163.934
0.0,0.004227076124567475,-33305.458528618154,164.96726391967562,0.0,166.141
0.0,0.004211708731935681,-32247.451220410483,171.29750681104588,0.0,165.537
0.0,0.0040206340321595774,-28899.819397378487,142.4370471775759,0.0,158.027
0.0,0.003856732139222471,-29708.076202408072,140.403472503635,0.0,151.585
0.0,0.0034833350295135354,-23134.85546556211,127.80093424852132,0.0,136.909
0.0,0.003639833095868105,-25873.358474192737,142.23628030481402,0.0,143.06
0.0,0.0039193975167921835,-28819.948106738582,148.49050639364899,0.0,154.048
0.0,0.0039599531854264194,-29600.217528269124,130.48095706281046,0.0,155.642
0.0,0.004135151638510075,-32482.863353999906,170.82837482134445,0.0,162.528
0.0,0.0043102483207816,-35240.304525149506,163.76575700857083,0.0,169.41
0.0,0.004083757378383879,-31926.870517008017,164.96749731668527,0.0,160.508
0.0,0.004296356604925707,-35168.38665691468,146.25251259950198,0.0,168.864
0.0,0.003902147364135966,-28350.07692212101,164.71471556259638,0.0,153.37
0.0,0.004285797883167108,-32301.708317121556,196.82867339900986,0.0,168.449
0.0,0.004164512517809892,-31655.778508583324,183.6302101313964,0.0,163.682
0.0,0.00393736006513332,-30769.607616611487,149.96814348820283,0.0,154.754
0.0,0.004096020761245675,-32396.713244419032,144.5405039687205,0.0,160.99
0.0,0.003897058823529412,-29731.069320306116,134.7828538738661,0.0,153.17
0.0,0.0037302055770405047,-26741.013665976523,132.15797890340755,0.0,146.612
0.0,0.0036869275391817626,-26126.890618945203,141.58300558393745,0.0,144.911
0.0,0.004118232240993283,-32379.263845591217,185.66649667013277,0.0,161.863
0.0,0.004306711785060044,-35329.751157242375,170.05286417271915,0.0,169.271
0.0,0.0037768929371056375,-26460.036255760544,148.2156138424471,0.0,148.447
0.0,0.003555465092611439,-23908.91203461922,130.04933243283858,0.0,139.744
0.0,0.0034469519641766744,-23642.20329805103,120.57862976182332,0.0,135.479
0.0,0.0034271320985141463,-23103.741789194428,113.99349076071503,0.0,134.7
0.0,0.003405785670669652,-23446.67744519093,108.46545704119026,0.0,133.861
0.0,0.0035068949725218807,-22733.642000656553,139.59251358134347,0.0,137.835
0.0,0.003928684103399145,-29230.3837936216,137.37799217206805,0.0,154.413
0.0,0.003973794015876247,-30364.06964650648,133.49292399804318,0.0,156.186
0.0,0.003998397109708935,-30748.44471829945,139.4268499876953,0.0,157.153
0.0,0.004225167921840017,-33934.917610370554,145.2628236323256,0.0,166.066
0.0,0.004171534703846937,-32597.3347278052,146.0262534651335,0.0,163.958
0.0,0.004390469163443924,-36011.08099305049,171.7348609298707,0.0,172.563
0.0,0.003923366578465296,-30885.424115198643,133.99597284592252,0.0,154.204
0.0,0.003861286383065337,-28784.877534645082,142.29139051607052,0.0,151.764
0.0,0.003836683289232648,-27246.509250797695,163.6446352162194,0.0,150.797
0.0,0.003826150010177081,-27460.90039860237,177.482117699592,0.0,150.383
0.0,0.004003663749236718,-30548.463334319076,160.4911513215439,0.0,157.36
0.0,0.003893242418074496,-27723.90376340748,154.77554794012912,0.0,153.02
0.0,0.003533177284754733,-25441.854912442624,118.40070514253583,0.0,138.868
0.0,0.00359624974557297,-24992.561308830405,154.25943892554503,0.0,141.347
0.0,0.003369097292896397,-22888.483133559683,114.79841073643533,0.0,132.419
0.0,0.004032108691227355,-29872.74926331064,168.44112732409442,0.0,158.478
0.0,0.0041345410136372895,-31557.392909463364,157.83577703644718,0.0,162.504
0.0,0.004123575208630164,-32156.85290714359,163.3141623989691,0.0,162.073
0.0,0.0038445196417667415,-29826.033049082365,120.927178195332,0.0,151.105
0.0,0.0033538571137797677,-22169.269207713336,116.29423075171198,0.0,131.82
0.0,0.003467560553633218,-23609.99956516268,125.47197579578103,0.0,136.289
0.0,0.0034240026460411153,-21663.860443528592,134.85005098724847,0.0,134.577
0.0,0.003562283737024221,-24669.75686736371,132.3337889823832,0.0,140.012
0.0,0.0040927386525544465,-30624.484834880102,137.17571504526066,0.0,160.861
0.0,0.004400315489517606,-35900.86962482585,182.51139067874632,0.0,172.95
0.0,0.004150951557093426,-33074.650009322984,155.82662456858495,0.0,163.149
0.0,0.0042129299816812535,-32177.03069249883,211.07875195816396,0.0,165.585
0.0,0.004331976389171586,-35602.62217127371,168.82950423279334,0.0,170.264
0.0,0.004180337879096276,-33860.98454858978,148.73737848075496,0.0,164.304
0.0,0.004518878485650316,-39515.00519368941,181.92950753703843,0.0,177.61
0.0,0.004560629961327091,-39836.75244372891,185.28440931339847,0.0,179.251
0.0,0.0037335131284347645,-26460.656316572717,159.80359865819088,0.0,146.742
0.0,0.003782210462039487,-26944.956594988882,174.63948369401038,0.0,148.656
0.0,0.003607266435986159,-26430.84867606415,129.17329802666637,0.0,141.78
0.0,0.0036491960105841646,-25742.07001222072,154.89486223773665,0.0,143.428
0.0,0.0037238703439853448,-26830.32434943901,144.0273551429899,0.0,146.363
0.0,0.003883803175249339,-29295.237710212597,145.01149518970666,0.0,152.649
0.0,0.0036626552004885003,-25769.795084026067,132.5140164873068,0.0,143.957
0.0,0.0035890494606146957,-24627.912124652663,117.4889810739726,0.0,141.064
0.0,0.003814955220842663,-26208.93718333602,149.8928977523296,0.0,149.943
0.0,0.003782642987991044,-26893.662275966348,140.26019758798185,0.0,148.673
0.0,0.0038689446366782006,-28677.794061070195,138.69773301426503,0.0,152.065
0.0,0.003752925910848769,-24948.31754603346,149.88285610131527,0.0,147.505
0.0,0.0038812334622430286,-27848.723939148902,152.82317626024656,0.0,152.548
